date,Job openings — total (level),Job openings — total (rate),Hires — total (level),Hires — total (rate),Separations — total (level),Separations — total (rate),Quits — total (level),Quits — total (rate),Layoffs & discharges — total (level),Layoffs & discharges — total (rate),Job openings — construction,Job openings — manufacturing,Job openings — retail trade,Job openings — professional & business,Job openings — education & health,Job openings — health care & social,Job openings — leisure & hospitality,"Job openings — arts, entertainment, recreation",Job openings — accommodation & food,Job openings — government,Job openings — state & local government,Quits rate — total private,Quits rate — construction,Quits rate — manufacturing,Quits rate — retail trade,Quits rate — information,Quits rate — financial activities,Quits rate — professional & business,Quits rate — private education & health,Quits rate — health care & social,Quits rate — leisure & hospitality,Quits rate — accommodation & food,Quits rate — government
2017-11-01,6271.0,4.1,5494.0,3.7,5283.0,3.6,3186.0,2.2,1747.0,1.2,243.0,435.0,930.0,1034.0,1118.0,1010.0,877.0,87.0,790.0,535.0,457.0,2.4,2.0,1.6,2.8,1.7,1.4,3.3,1.8,1.8,4.1,4.3,0.8
2017-12-01,6336.0,4.1,5421.0,3.7,5249.0,3.6,3222.0,2.2,1732.0,1.2,232.0,405.0,932.0,971.0,1163.0,1066.0,884.0,87.0,797.0,578.0,482.0,2.4,2.1,1.7,3.0,1.8,1.4,3.1,1.7,1.8,4.2,4.3,0.8
2018-01-01,6621.0,4.3,5512.0,3.7,5288.0,3.6,3019.0,2.0,1932.0,1.3,250.0,447.0,887.0,1118.0,1154.0,1046.0,931.0,88.0,843.0,591.0,478.0,2.3,2.2,1.7,2.8,1.7,1.4,2.7,1.6,1.7,3.8,3.9,0.8
2018-02-01,6552.0,4.2,5624.0,3.8,5319.0,3.6,3222.0,2.2,1771.0,1.2,218.0,441.0,824.0,1108.0,1187.0,1094.0,901.0,113.0,789.0,596.0,524.0,2.4,2.1,1.7,2.9,1.7,1.5,3.1,1.7,1.7,4.3,4.6,0.7
2018-03-01,6818.0,4.4,5623.0,3.8,5500.0,3.7,3323.0,2.2,1795.0,1.2,223.0,416.0,912.0,1185.0,1231.0,1120.0,928.0,99.0,829.0,628.0,523.0,2.5,2.2,1.7,2.9,1.6,1.3,3.1,1.8,1.8,4.4,4.6,0.8
2018-04-01,6877.0,4.4,5590.0,3.8,5441.0,3.7,3370.0,2.3,1727.0,1.2,223.0,438.0,1031.0,1196.0,1215.0,1117.0,968.0,115.0,853.0,593.0,511.0,2.5,2.4,1.6,3.1,1.6,1.1,3.2,1.9,1.9,4.4,4.6,0.8
2018-05-01,7016.0,4.5,5859.0,3.9,5492.0,3.7,3382.0,2.3,1775.0,1.2,266.0,460.0,964.0,1239.0,1204.0,1099.0,975.0,128.0,847.0,596.0,495.0,2.5,2.3,1.6,3.1,1.8,1.3,3.0,2.1,2.2,4.3,4.5,0.8
2018-06-01,7230.0,4.6,5760.0,3.9,5566.0,3.7,3382.0,2.3,1822.0,1.2,289.0,461.0,980.0,1268.0,1257.0,1119.0,1061.0,158.0,903.0,646.0,534.0,2.5,2.4,1.6,3.2,1.8,1.4,3.1,1.9,2.1,4.2,4.4,0.8
2018-07-01,7190.0,4.6,5649.0,3.8,5577.0,3.7,3426.0,2.3,1806.0,1.2,272.0,458.0,961.0,1253.0,1232.0,1119.0,1019.0,100.0,918.0,646.0,528.0,2.6,2.7,1.7,3.2,1.7,1.5,3.1,1.9,2.0,4.5,4.6,0.8
2018-08-01,7208.0,4.6,5815.0,3.9,5543.0,3.7,3423.0,2.3,1803.0,1.2,286.0,500.0,797.0,1331.0,1249.0,1123.0,1007.0,112.0,895.0,725.0,602.0,2.6,2.4,1.6,3.2,1.6,1.5,2.9,2.0,2.2,4.4,4.6,0.7
2018-09-01,7411.0,4.7,5625.0,3.8,5494.0,3.7,3391.0,2.3,1764.0,1.2,315.0,478.0,947.0,1342.0,1281.0,1198.0,1073.0,90.0,982.0,617.0,526.0,2.5,2.2,1.6,3.5,1.6,1.4,2.8,1.8,1.9,4.5,4.7,0.8
2018-10-01,7304.0,4.7,5907.0,4.0,5602.0,3.7,3458.0,2.3,1813.0,1.2,275.0,502.0,967.0,1344.0,1242.0,1147.0,1015.0,94.0,921.0,616.0,512.0,2.6,2.4,1.6,3.4,1.5,1.2,3.1,2.0,2.1,4.3,4.5,0.8
2018-11-01,7594.0,4.8,5826.0,3.9,5793.0,3.9,3511.0,2.3,1938.0,1.3,314.0,520.0,1044.0,1343.0,1258.0,1167.0,1023.0,97.0,925.0,676.0,557.0,2.6,2.5,1.8,3.2,2.0,1.3,3.0,2.1,2.3,4.3,4.6,0.9
2018-12-01,7489.0,4.8,5768.0,3.9,5554.0,3.7,3407.0,2.3,1839.0,1.2,394.0,467.0,910.0,1351.0,1321.0,1221.0,1075.0,116.0,960.0,680.0,563.0,2.5,2.4,1.5,3.2,1.6,1.5,3.0,2.1,2.2,4.2,4.5,0.8
2019-01-01,7502.0,4.8,5786.0,3.9,5549.0,3.7,3517.0,2.3,1705.0,1.1,309.0,431.0,818.0,1391.0,1360.0,1241.0,1121.0,104.0,1018.0,693.0,563.0,2.6,2.6,1.7,3.2,2.1,1.2,3.0,2.0,2.1,4.6,4.9,0.9
2019-02-01,7066.0,4.5,5704.0,3.8,5653.0,3.8,3547.0,2.4,1763.0,1.2,287.0,457.0,803.0,1387.0,1215.0,1108.0,998.0,105.0,893.0,687.0,559.0,2.6,2.7,1.7,3.3,1.5,1.2,3.1,2.0,2.1,4.8,5.0,0.8
2019-03-01,7317.0,4.6,5689.0,3.8,5543.0,3.7,3529.0,2.3,1690.0,1.1,359.0,435.0,773.0,1347.0,1350.0,1240.0,1005.0,101.0,904.0,715.0,593.0,2.6,1.9,1.7,3.3,1.6,1.3,3.2,2.0,2.2,4.6,4.9,0.8
